x,y
355,1066.6889049015012
356,1069.6378417320059
357,1073.2137612800964
358,1076.3574772214943
359,1078.6006920969498
360,1082.1410169174358
361,1084.8982210499983
362,1088.3228211412963
363,1091.307936682873
364,1094.1025602515404
365,1096.8586365891567
366,1100.1483911545765
367,1103.2209302006522
368,1106.382174556211
369,1108.7300492446793
370,1111.8015087021352
371,1114.602013860177
372,1117.8304033973254
373,1121.2174048863155
374,1123.8812897693265
375,1127.0659120234434
376,1129.7603475560356
377,1132.7006803907611
378,1135.7520744516614
379,1138.8244468954597
380,1142.3075361553592
381,1144.8605665699934
382,1148.3251859435675
383,1150.9035877173221
384,1154.1893504929265
385,1156.6270152683444
386,1160.215179413609
387,1163.159218775796
388,1166.1193354027937
389,1169.200058761003
390,1171.9595868469758
391,1175.1850386334377
392,1178.102410227708
393,1181.0501263224614
394,1184.3051742317195
395,1186.6928225483455
396,1190.2145805007651
397,1192.8674537461293
398,1196.0963506253581
399,1198.8061579005987
